手続名称,書類正式名称,担当課,担当係,場所,用途,留意事項,電話番号,URL,電子申請
「ねりま情報メール」の登録申込み,,広聴広報課,広報調整係,本庁舎7階,ねりま情報メールから防災気象情報等のメール受信を希望する場合に、区へ登録申し込みする手続き,通信料は自己負担,(03)5984-1283,https://www.city.nerima.tokyo.jp/kusei/koho/mail/nerima_mail.html,
区民のひろば申込,ねりま区報「区民のひろば」掲載申込書,広聴広報課,広報係,本庁舎7階,ねりま区報にサークルの紹介を希望する場合に、区に届け出る手続き,掲載予定の広告見本が必要,(03)5984-2690,https://www.city.nerima.tokyo.jp/kusei/koho/kuho/hiroba.html,"https://www.city.nerima.tokyo.jp/cgi-bin/form_enq/formmail.cgi?d=hiroba-reikai,https://www.city.nerima.tokyo.jp/cgi-bin/form_enq/formmail.cgi?d=hiroba-hiduke"
ねりま区報送付サービス,ねりま区報送付サービス申込書,広聴広報課,広報係,本庁舎7階,区民が、ねりま区報の送付を依頼する場合に、区に届け出る手続き,,(03)5984-2690,https://www.city.nerima.tokyo.jp/kusei/koho/kuho/souhu.html,https://www.city.nerima.tokyo.jp/cgi-bin/formmail/formmail.cgi?d=kuho_sohu
専門相談の予約,様式なし,広聴広報課,相談担当係,東庁舎5階,区民が日常生活で抱える悩みや問題について、各種専門相談員への相談を希望する場合に、区に申し込む手続き,,(03)5984-4523,https://www.city.nerima.tokyo.jp/kurashi/iken/kakushusodan/kuminsodan/index.html,
被災証明書交付申請,被災証明書交付申請書,危機管理課,防災調整係,本庁舎7階,区内で発生した災害によって被災した区民等からの申請により、被害の状況を調査し、被害の事実を証明する。,区長が必要と認める書類が必要,(03)5984-1686,https://www.city.nerima.tokyo.jp/kurashi/bosai/risaisyoumei.html,
被災届出証明書交付申請,被災届出証明書交付申請書,危機管理課,防災調整係,本庁舎7階,区内で発生した災害によって被災した区民等からの申請により、災害によって被害を受けたことを区長に届け出た事実を証明する。,"災害によって受けた被害の状況が分かる写真が必要
・区長が必要と認める書類",(03)5984-1686,https://www.city.nerima.tokyo.jp/kurashi/bosai/risaisyoumei.html,
り災証明書交付申請,り災証明書交付申請書,危機管理課,防災調整係,本庁舎7階,区内で発生した災害によって被災した区民等からの申請により、被害の状況を調査し、被害の程度を証明する。,区長が必要と認める書類が必要,(03)5984-1686,https://www.city.nerima.tokyo.jp/kurashi/bosai/risaisyoumei.html,
災害見舞金,被災状況届,危機管理課,防災調整係,本庁舎7階,区内で発生した災害救助法の適用に至らない災害において、被害を受けた区民等の届出により、被害状況を調査し見舞金等を支給する。,,(03)5984-1686,https://www.city.nerima.tokyo.jp/kurashi/bosai/kasai/mimaikin.html,
ブロック塀等撤去費用助成金交付申請,練馬区ブロック塀等撤去費用助成金交付申請書,危機管理課,防災調整係,本庁舎7階,要件に該当する場合に区内のブロック塀等の撤去に要する費用の一部を助成する。,"案内図　配置図　ブロック塀等の現況および撤去後の概要図　現況写真　危険度チェックリスト　工事見積書の写し（撤去に係る費用が確認できるもの）住民税納税証明書、法人住民税納税証明書等
ブロック塀等の所有者であることが分かる書類　
履歴事項全部証明書（法人の場合）　
委任状（工事を本人名義で契約し、申請手続や助成金の請求・受領を委任する場合）
承諾書（工事を第三者名義で契約し、申請手続や助成金の請求・受領を第三者が行う場合）
",(03)5984-1686,https://www.city.nerima.tokyo.jp/kurashi/bosai/jishinsonae/burokkubeitekyyo.html,
防犯ブザーの配布,防犯ブザー申込書,危機管理課,安全安心係,本庁舎7階,小・中学生、65歳以上の高齢者に防犯ブザーを配布する。,,(03)5984-1027,https://www.city.nerima.tokyo.jp/kurashi/bosai/bohan/bouhanbuza-.html,
安全・安心パトロールカー貸出申込,練馬区安全・安心パトロールカー貸出申込書（第１号様式）,危機管理課,安全安心係,本庁舎7階,パトロール団体等が安全・安心パトロールカーの貸出をするための手続き,,(03)5984-1027,https://www.city.nerima.tokyo.jp/kurashi/bosai/bohan/patrolcar/rental.html,
安全・安心パトロールカー貸出報告,練馬区安全・安心パトロールカー貸出報告書（第３号様式）,危機管理課,安全安心係,本庁舎7階,パトロール団体等が安全・安心パトロールカーの貸出報告をするための手続き,,(03)5984-1027,https://www.city.nerima.tokyo.jp/kurashi/bosai/bohan/patrolcar/rental.html,
練馬区災害ボランティア登録申請,練馬区災害ボランティア登録申請書,区民防災課,,本庁舎7階,"区内で震度５弱以上の地震が発生した場合に、避難拠点において安否確認等被災者に対する支援活動を行う「練馬区災害ボランティア」の登録をする手続き
",,(03)5984-2601,https://www.city.nerima.tokyo.jp/kurashi/bosai/oshirase/20141301.html,
ねりま防災カレッジ各種講座の参加者募集,様式なし,区民防災課,防災学習センター,光が丘6-4-1,ねりま防災カレッジにて開催する各種防災講座の参加者募集の手続き,,(03)5997-6471,https://www.city.nerima.tokyo.jp/kurashi/bosai/bo_college/nerimabousaikouza.html,
英文証明,英文証明願,総務課,総務係,本庁舎6階,練馬区が発行する日本語の証明書（住民票の写し等）を、お客様が英訳したものについて、証明書の内容と照らし合わせ、記載内容に誤りのないことを練馬区が証明する手続き,日本語の証明書が必要,(03)5984-2600,https://www.city.nerima.tokyo.jp/dl/koseki/eibunshoumei.html,
町名・地番変更証明,様式なし,総務課,総務係,本庁舎6階,住居表示実施（昭和38年2月1日?）以前の町丁名・地番の変更について証明する手続き,,(03)5984-2600,https://www.city.nerima.tokyo.jp/dl/koseki/eibunshoumei.html,
練馬区役所会議室の利用申請,様式なし,総務課,庁舎管理係,本庁舎1階,区民等が練馬区役所本庁舎内の空き会議室を利用する際に必要な申請手続,利用月3か月前の月の初日（土日祝の場合、翌営業日）より受付,(03)5984-1091,https://www.city.nerima.tokyo.jp/shisetsu/ku/ku/kaigishitsu_h25.html,
練馬区登録統計調査員の登録,,総務課,統計係,光が丘区民センター7階,練馬区登録統計調査員の登録に係る手続き,直接統計係へ連絡,(03)5997-7724,https://www.city.nerima.tokyo.jp/dl/kuseisanka/tourokutoukeityousa.html,
練馬区登録統計調査員の変更,練馬区登録調査員　登録内容変更届,総務課,統計係,光が丘区民センター7階,練馬区登録統計調査員の変更に係る手続き,,(03)5997-7724,https://www.city.nerima.tokyo.jp/dl/kuseisanka/tourokutoukeityousa.html,
練馬区登録統計調査員の辞退,練馬区登録調査員　登録抹消届,総務課,統計係,光が丘区民センター7階,練馬区登録統計調査員の辞退に係る手続き,,(03)5997-7724,https://www.city.nerima.tokyo.jp/dl/kuseisanka/tourokutoukeityousa.html,
